word	defn	main_meaning	other meaning
可以	 可以	 khả dĩ	 có thể/khả dĩ/có khả năng/có năng lực/cho phép/được phép/tốt/giỏi/hay/lợi hại/ghê hồn/cừ khôi/ghê gớm
中国	 中國	 trung quốc	 Trung Quốc/Trung Hoa Trung Quốc/China/nước cộng hoà nhân dân Trung Hoa
现在	 現在	 hiện tại	 hiện tại/hiện nay/bây giờ
时间	 時間	 thời gian	 thời gian/giờ/khoảng thời gian/thời điểm
问题	 問題	 vấn đề	 vấn đề/câu hỏi/đề hỏi/quan trọng/mấu chốt/chuyện/trở ngại/trắc trở
工作	 工作	 công tác	 công tác/làm việc/việc làm/nghề nghiệp/công việc/nhiệm vụ/nghiệp vụ
学生	 學生	 học sinh	 đệ tử/học sinh/học trò/con trai
所以	 所以	 sở dĩ	 cho nên/sở dĩ/đó là lí do mà/nguyên cớ/vì sao/nguyên do
生活	 生活	 sinh hoạt	 cuộc sống/sinh hoạt/đời sống/sinh tồn/tồn tại/mức sống/việc/công việc
大家	 大家	 đại gia	 mọi người/đại gia/chuyên gia/người nổi tiếng/bậc thầy/họ lớn/thế gia vọng tộc
可能	 可能	 khả năng	 có thể/khả năng/khả thi/thực hiện được/làm được/có lẽ/hoặc giả/chắc là
东西	 東西	 đông tây	 đồ vật này nọ/đông tây/phía đông và phía tây/từ đông sang tây/đồ/vật/thứ/đồ đạc/đồ vật đồ
北京	 北京	 bắc kinh	 Bắc Kinh/Beijing
地方	 地方	 địa phương	 địa phương/chỗ/bản xứ/bản địa/nơi ấy/chốn ấy/nơi/vùng/miền bộ phận/phần
非常	 非常	 phi thường	 phi thường/đặc biệt/bất thường/không bình thường/rất/vô cùng/cực kỳ/hết sức
发现	 發現	 phát hiện	 phát hiện/tìm ra/tìm tòi/phát giác/cảm thấy
不过	 不過	 bất quá	 bất quá/cực kỳ/hết mức/nhất trên đời/hơn hết/vừa mới/vừa/chỉ/chẳng qua/chỉ vì/chỉ có/nhưng/nhưng mà/có điều là/song/chỉ có điều
世界	 世界	 thế giới	 thế giới/vũ trụ/trái đất/thời buổi
一定	 一定	 nhất định	 nhất định/chính xác/quy định/tất nhiên/cần phải/chắc chắn/riêng
进行	 進行	 tiến hành	 tiến hành/làm/tiến lên/tiến tới/tiến lên phía trước
公司	 公司	 công ty	 công ty/hãng
朋友	 朋友	 bằng hữu	 bằng hữu/bạn bè/bạn/người yêu
国家	 國家	 quốc gia	 quốc gia/nhà nước/đất nước/lãnh thổ
所有	 所有	 sở hữu	 tất cả/sở hữu/vật sở hữu/hết thảy/toàn bộ
个人	 個人	 cá nhân	 cá nhân/người/riêng tôi/cá nhân tôi
发展	 發展	 phát triển	 phát triển/mở rộng/khuếch trương
最后	 最後	 tối hậu	 cuối cùng/tối hậu/sau cùng
电话	 電話	 điện thoại	 điện thoại/máy điện thoại/dây nói
学习	 學習	 học tập	 học tập/học
当时	 當時	 đương thời	 lúc ấy/lúc đó/khi đó/đương thời/lập tức/liền/ngay lúc đó/ngay lúc ấy
情况	 情況	 tình huống	 tình huống/tình hình
社会	 社會	 xã hội	 xã hội/hình thái xã hội
希望	 希望	 hi vọng/hy vọng	 hy vọng/mong muốn/ước ao/mong/ý muốn/ước muốn/nguyện vọng/niềm hi vọng/mong ngóng
感觉	 感覺	 cảm giác	 cảm giác/cảm thấy/cho rằng
记者	 記者	 ký giả	 phóng viên/ký giả/nhà báo
女人	 女人	 nữ nhân	 nữ nhân/phụ nữ/đàn bà/vợ
第二	 第二	 đệ nhị	 đệ nhị/thứ hai
其实	 其實	 kỳ thật	 kỳ thật/kỳ thực/thực ra
事情	 事情	 sự tình	 sự tình/chuyện/sự việc
过去	 過去	 quá khứ	 quá khứ/đi tới/đã qua/trước đây/đi qua/qua/mất/chết/tạ thế
教育	 教育	 giáo dục	 giáo dục/đào tạo/dạy dỗ/dạy bảo/chỉ dẫn/chỉ thị/dạy
文化	 文化	 văn hóa	 văn hóa/văn hoá
特别	 特別	 đặc biệt	 đặc biệt/vô cùng/rất/riêng biệt/chuyên biệt/càng/nhất là
当然	 當然	 đương nhiên	 đương nhiên/nên như thế/phải thế/tất nhiên/dĩ nhiên
要求	 要求	 yêu cầu	 yêu cầu/đòi hỏi/hi vọng/nguyện vọng
不同	 不同	 bất đồng	 bất đồng/khác nhau/khác biệt
出现	 出現	 xuất hiện	 xuất hiện/nảy sinh/ló ra/nổi lên/hiện ra
重要	 重要	 trọng yếu	 trọng yếu/quan trọng
通过	 通過	 thông qua	 thông qua/đi qua/qua
市场	 市場	 thị trường	 thị trường/chợ
日本	 日本	 nhật bản	 Nhật Bổn/Nhật bản
英语	 英語	 anh ngữ	 tiếng Anh/Anh ngữ/Anh văn
一切	 一切	 nhất thiết	 hết thảy/tất cả/mọi/mọi thứ/toàn bộ/nhất thiết/hết thẩy
活动	 活動	 hoạt động	 hoạt động/chuyển động/vận động/theo mục đích/vì mục đích nào đó/hành động có mục đích/lay động/lung lay/không ổn định/đung đưa/lắc lư/linh hoạt/di động/không cố định/sinh hoạt/chạy chọt/đút lót/mua chuộc
大学	 大學	 đại học	 đại học
主要	 主要	 chủ yếu	 chủ yếu/chính
经济	 經濟	 kinh tế	 kinh tế/lợi hại/mức sống/đời sống/tiết kiệm/đỡ tốn kém/hạn chế/trị nước/trị quốc
同时	 同時	 đồng thời	 đồng thời/song song/trong khi/cùng lúc/hơn nữa
研究	 研究	 nghiên cứu	 nghiên cứu/tìm tòi học hỏi
关系	 關係	 quan hệ	 quan hệ/liên quan/liên quan đến/quan hệ đến/quan trọng/hệ trọng/nguyên nhân/điều kiện/giấy chứng nhận/liên hệ/quan hệ tới
作者	 作者	 tác giả	 tác giả/tác gia
发生	 發生	 phát sinh	 phát sinh/sinh ra/xảy ra/sản sinh/phôi thai/trứng phát triển
评论	 評論	 bình luận	 bình luận/nhận xét/bài bình luận
企业	 企業	 xí nghiệp	 xí nghiệp
方面	 方面	 phương diện	 phương diện/mặt/phía
